image_path,IMAGE,MEDICINE_NAME,GENERIC_NAME,source,source_split,raw_text,match_method,match_score,label
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4004.jpg,P4004.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\1540.png,1540.png,Ketocon,Ketoconazole (Shampoo),datasetHand,training,,,,38
D:\ediprjcursor\data\datasetHand\Training\training_words\1263.png,1263.png,Fexo,Fexofenadine Hydrochloride,datasetHand,training,,,,30
D:\ediprjcursor\data\datasetHand\Training\training_words\1939.png,1939.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\2971.png,2971.png,Tridosil,Azithromycin Dihydrate,datasetHand,training,,,,74
D:\ediprjcursor\data\datasetHand\Training\training_words\325.png,325.png,Az,Azithromycin Dihydrate,datasetHand,training,,,,6
D:\ediprjcursor\data\datasetHand\Training\training_words\564.png,564.png,Beklo,Baclofen,datasetHand,training,,,,14
D:\ediprjcursor\data\datasetHand\Training\training_words\2975.png,2975.png,Tridosil,Azithromycin Dihydrate,datasetHand,training,,,,74
D:\ediprjcursor\data\datasetHand\Training\training_words\2119.png,2119.png,Montene,Montelukast Sodium,datasetHand,training,,,,52
D:\ediprjcursor\data\datasetHand\Training\training_words\2083.png,2083.png,Montene,Montelukast Sodium,datasetHand,training,,,,52
D:\ediprjcursor\data\datasetHand\Training\training_words\2543.png,2543.png,Progut,Esomeprazole,datasetHand,training,,,,63
D:\ediprjcursor\data\datasetHand\Training\training_words\1439.png,1439.png,Flexibac,Baclofen,datasetHand,training,,,,35
D:\ediprjcursor\data\datasetHand\Training\training_words\2131.png,2131.png,Montex,Montelukast Sodium,datasetHand,training,,,,53
D:\ediprjcursor\data\datasetHand\Training\training_words\1872.png,1872.png,Maxima,Esomeprazole,datasetHand,training,,,,46
D:\ediprjcursor\data\datasetHand\Training\training_words\2648.png,2648.png,Rhinil,Cetirizine Hydrochloride,datasetHand,training,,,,66
D:\ediprjcursor\data\datasetHand\Training\training_words\1306.png,1306.png,Filmet,Metronidazole,datasetHand,training,,,,32
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P1624.jpg,P1624.jpg,Nexum,Esomeprazole,RxHandBD-ML,train,Nexum,exact_clean,100.0,57
D:\ediprjcursor\data\datasetHand\Training\training_words\2374.png,2374.png,Nizoder,Ketoconazole (Cream),datasetHand,training,,,,59
D:\ediprjcursor\data\datasetHand\Training\training_words\136.png,136.png,Amodis,Metronidazole,datasetHand,training,,,,3
D:\ediprjcursor\data\datasetHand\Training\training_words\1708.png,1708.png,Leptic,Clonazepam,datasetHand,training,,,,42
D:\ediprjcursor\data\datasetHand\Training\training_words\2762.png,2762.png,Romycin,Azithromycin Dihydrate (Ophthalmic),datasetHand,training,,,,69
D:\ediprjcursor\data\datasetHand\Training\training_words\3027.png,3027.png,Trilock,Montelukast Sodium,datasetHand,training,,,,75
D:\ediprjcursor\data\datasetHand\Training\training_words\1219.png,1219.png,Fexofast,Fexofenadine Hydrochloride,datasetHand,training,,,,31
D:\ediprjcursor\data\datasetHand\Training\training_words\1143.png,1143.png,Exium,Esomeprazole,datasetHand,training,,,,28
D:\ediprjcursor\data\datasetHand\Training\training_words\2006.png,2006.png,Monas,Montelukast Sodium,datasetHand,training,,,,50
D:\ediprjcursor\data\datasetHand\Training\training_words\2894.png,2894.png,Tamen,Paracetamol,datasetHand,training,,,,72
D:\ediprjcursor\data\datasetHand\Training\training_words\583.png,583.png,Beklo,Baclofen,datasetHand,training,,,,14
D:\ediprjcursor\data\datasetHand\Training\training_words\2494.png,2494.png,Opton,Esomeprazole,datasetHand,training,,,,62
D:\ediprjcursor\data\datasetHand\Training\training_words\224.png,224.png,Axodin,Fexofenadine Hydrochloride,datasetHand,training,,,,5
D:\ediprjcursor\data\datasetHand\Training\training_words\964.png,964.png,Disopan,Clonazepam,datasetHand,training,,,,24
D:\ediprjcursor\data\datasetHand\Training\training_words\2918.png,2918.png,Tamen,Paracetamol,datasetHand,training,,,,72
D:\ediprjcursor\data\datasetHand\Training\training_words\2801.png,2801.png,Rozith,Azithromycin Dihydrate,datasetHand,training,,,,70
D:\ediprjcursor\data\datasetHand\Training\training_words\1681.png,1681.png,Leptic,Clonazepam,datasetHand,training,,,,42
D:\ediprjcursor\data\datasetHand\Training\training_words\117.png,117.png,Alatrol,Cetirizine Hydrochloride,datasetHand,training,,,,2
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3578.jpg,P3578.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\2859.png,2859.png,Sergel,Esomeprazole,datasetHand,training,,,,71
D:\ediprjcursor\data\datasetHand\Training\training_words\10.png,10.png,Aceta,Paracetamol,datasetHand,training,,,,1
D:\ediprjcursor\data\datasetHand\Training\training_words\39.png,39.png,Aceta,Paracetamol,datasetHand,training,,,,1
D:\ediprjcursor\data\datasetHand\Training\training_words\2684.png,2684.png,Ritch,Fexofenadine Hydrochloride,datasetHand,training,,,,67
D:\ediprjcursor\data\datasetHand\Training\training_words\1393.png,1393.png,Flamyd,Metronidazole,datasetHand,training,,,,34
D:\ediprjcursor\data\datasetHand\Training\training_words\2574.png,2574.png,Provair,Montelukast Sodium,datasetHand,training,,,,64
D:\ediprjcursor\data\datasetHand\Training\training_words\2447.png,2447.png,Omastin,Fluconazole,datasetHand,training,,,,61
D:\ediprjcursor\data\datasetHand\Training\training_words\1745.png,1745.png,Lucan-R,Fluconazole,datasetHand,training,,,,43
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5323.jpg,P5323.jpg,Flamyd,Metronidazole,RxHandBD-ML,train,flamyd,exact_clean,100.0,34
D:\ediprjcursor\data\datasetHand\Training\training_words\2220.png,2220.png,Napa,Paracetamol,datasetHand,training,,,,54
D:\ediprjcursor\data\datasetHand\Training\training_words\2478.png,2478.png,Omastin,Fluconazole,datasetHand,training,,,,61
D:\ediprjcursor\data\datasetHand\Training\training_words\1624.png,1624.png,Ketotab,Ketoconazole (Tablet),datasetHand,training,,,,40
D:\ediprjcursor\data\datasetHand\Training\training_words\2559.png,2559.png,Progut,Esomeprazole,datasetHand,training,,,,63
D:\ediprjcursor\data\datasetHand\Training\training_words\1733.png,1733.png,Lucan-R,Fluconazole,datasetHand,training,,,,43
D:\ediprjcursor\data\datasetHand\Training\training_words\925.png,925.png,Dinafex,Fexofenadine Hydrochloride,datasetHand,training,,,,23
D:\ediprjcursor\data\datasetHand\Training\training_words\485.png,485.png,Baclon,Baclofen,datasetHand,training,,,,12
D:\ediprjcursor\data\datasetHand\Training\training_words\2955.png,2955.png,Telfast,Fexofenadine Hydrochloride,datasetHand,training,,,,73
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4528.jpg,P4528.jpg,Fexofast,Fexofenadine Hydrochloride,RxHandBD-ML,train,Fexofast,exact_clean,100.0,31
D:\ediprjcursor\data\datasetHand\Training\training_words\1558.png,1558.png,Ketocon,Ketoconazole (Shampoo),datasetHand,training,,,,38
D:\ediprjcursor\data\datasetHand\Training\training_words\927.png,927.png,Dinafex,Fexofenadine Hydrochloride,datasetHand,training,,,,23
D:\ediprjcursor\data\datasetHand\Training\training_words\296.png,296.png,Azyth,Azithromycin Dihydrate,datasetHand,training,,,,8
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4058.jpg,P4058.jpg,Metro,Metronidazole,RxHandBD-ML,train,Metro,exact_clean,100.0,48
D:\ediprjcursor\data\datasetHand\Training\training_words\73.png,73.png,Ace,Paracetamol,datasetHand,training,,,,0
D:\ediprjcursor\data\datasetHand\Training\training_words\1792.png,1792.png,Lumona,Montelukast Sodium,datasetHand,training,,,,44
D:\ediprjcursor\data\datasetHand\Training\training_words\1864.png,1864.png,Maxima,Esomeprazole,datasetHand,training,,,,46
D:\ediprjcursor\data\datasetHand\Training\training_words\1043.png,1043.png,Esoral,Esomeprazole,datasetHand,training,,,,26
D:\ediprjcursor\data\datasetHand\Training\training_words\1956.png,1956.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\591.png,591.png,Beklo,Baclofen,datasetHand,training,,,,14
D:\ediprjcursor\data\datasetHand\Training\training_words\1845.png,1845.png,Maxima,Esomeprazole,datasetHand,training,,,,46
D:\ediprjcursor\data\datasetHand\Training\training_words\1724.png,1724.png,Lucan-R,Fluconazole,datasetHand,training,,,,43
D:\ediprjcursor\data\datasetHand\Training\training_words\2328.png,2328.png,Nidazyl,Metronidazole,datasetHand,training,,,,58
D:\ediprjcursor\data\datasetHand\Training\training_words\1972.png,1972.png,Metsina,Metronidazole,datasetHand,training,,,,49
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4612.jpg,P4612.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\968.png,968.png,Disopan,Clonazepam,datasetHand,training,,,,24
D:\ediprjcursor\data\datasetHand\Training\training_words\1926.png,1926.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\1407.png,1407.png,Flexibac,Baclofen,datasetHand,training,,,,35
D:\ediprjcursor\data\datasetHand\Training\training_words\1786.png,1786.png,Lumona,Montelukast Sodium,datasetHand,training,,,,44
D:\ediprjcursor\data\datasetHand\Training\training_words\2787.png,2787.png,Romycin,Azithromycin Dihydrate (Ophthalmic),datasetHand,training,,,,69
D:\ediprjcursor\data\datasetHand\Training\training_words\2287.png,2287.png,Nexum,Esomeprazole,datasetHand,training,,,,57
D:\ediprjcursor\data\datasetHand\Training\training_words\858.png,858.png,Denixil,Clonazepam,datasetHand,training,,,,21
D:\ediprjcursor\data\datasetHand\Training\training_words\373.png,373.png,Bacaid,Baclofen,datasetHand,training,,,,9
D:\ediprjcursor\data\datasetHand\Training\training_words\3008.png,3008.png,Trilock,Montelukast Sodium,datasetHand,training,,,,75
D:\ediprjcursor\data\datasetHand\Training\training_words\765.png,765.png,Conaz,Fluconazole,datasetHand,training,,,,19
D:\ediprjcursor\data\datasetHand\Training\training_words\3092.png,3092.png,Zithrin,Azithromycin Dihydrate,datasetHand,training,,,,77
D:\ediprjcursor\data\datasetHand\Training\training_words\2845.png,2845.png,Sergel,Esomeprazole,datasetHand,training,,,,71
D:\ediprjcursor\data\datasetHand\Training\training_words\847.png,847.png,Denixil,Clonazepam,datasetHand,training,,,,21
D:\ediprjcursor\data\datasetHand\Training\training_words\2136.png,2136.png,Montex,Montelukast Sodium,datasetHand,training,,,,53
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5064.jpg,P5064.jpg,Exium,Esomeprazole,RxHandBD-ML,train,exium,exact_clean,100.0,28
D:\ediprjcursor\data\datasetHand\Training\training_words\81.png,81.png,Alatrol,Cetirizine Hydrochloride,datasetHand,training,,,,2
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3031.jpg,P3031.jpg,Ace,Paracetamol,RxHandBD-ML,train,Ace,exact_clean,100.0,0
D:\ediprjcursor\data\datasetHand\Training\training_words\632.png,632.png,Bicozin,Vitamin B Complex + Zinc,datasetHand,training,,,,15
D:\ediprjcursor\data\datasetHand\Training\training_words\2628.png,2628.png,Renova,Paracetamol,datasetHand,training,,,,65
D:\ediprjcursor\data\datasetHand\Training\training_words\3022.png,3022.png,Trilock,Montelukast Sodium,datasetHand,training,,,,75
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4986.jpg,P4986.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\2729.png,2729.png,Rivotril,Clonazepam,datasetHand,training,,,,68
D:\ediprjcursor\data\datasetHand\Training\training_words\3087.png,3087.png,Zithrin,Azithromycin Dihydrate,datasetHand,training,,,,77
D:\ediprjcursor\data\datasetHand\Training\training_words\1547.png,1547.png,Ketocon,Ketoconazole (Shampoo),datasetHand,training,,,,38
D:\ediprjcursor\data\datasetHand\Training\training_words\3107.png,3107.png,Zithrin,Azithromycin Dihydrate,datasetHand,training,,,,77
D:\ediprjcursor\data\datasetHand\Training\training_words\1827.png,1827.png,M-Kast,Montelukast Sodium,datasetHand,training,,,,45
D:\ediprjcursor\data\datasetHand\Training\training_words\1950.png,1950.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\1187.png,1187.png,Fenadin,Fexofenadine Hydrochloride,datasetHand,training,,,,29
D:\ediprjcursor\data\datasetHand\Training\training_words\2329.png,2329.png,Nidazyl,Metronidazole,datasetHand,training,,,,58
D:\ediprjcursor\data\datasetHand\Training\training_words\2069.png,2069.png,Montair,Montelukast Sodium,datasetHand,training,,,,51
D:\ediprjcursor\data\datasetHand\Training\training_words\1790.png,1790.png,Lumona,Montelukast Sodium,datasetHand,training,,,,44
D:\ediprjcursor\data\datasetHand\Training\training_words\2137.png,2137.png,Montex,Montelukast Sodium,datasetHand,training,,,,53
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4134.jpg,P4134.jpg,Maxima,Esomeprazole,RxHandBD-ML,train,Maxima,exact_clean,100.0,46
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P1628.jpg,P1628.jpg,Flugal,Fluconazole,RxHandBD-ML,train,Flugal,exact_clean,100.0,37
D:\ediprjcursor\data\datasetHand\Training\training_words\2821.png,2821.png,Rozith,Azithromycin Dihydrate,datasetHand,training,,,,70
D:\ediprjcursor\data\datasetHand\Training\training_words\2190.png,2190.png,Napa Extend,Paracetamol,datasetHand,training,,,,55
D:\ediprjcursor\data\datasetHand\Training\training_words\243.png,243.png,Azithrocin,Azithromycin Dihydrate,datasetHand,training,,,,7
D:\ediprjcursor\data\datasetHand\Training\training_words\1676.png,1676.png,Ketozol,Ketoconazole (Shampoo),datasetHand,training,,,,41
D:\ediprjcursor\data\datasetHand\Training\training_words\517.png,517.png,Baclon,Baclofen,datasetHand,training,,,,12
D:\ediprjcursor\data\datasetHand\Training\training_words\1815.png,1815.png,M-Kast,Montelukast Sodium,datasetHand,training,,,,45
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5148.jpg,P5148.jpg,Fexo,Fexofenadine Hydrochloride,RxHandBD-ML,train,fexo,exact_clean,100.0,30
D:\ediprjcursor\data\datasetHand\Training\training_words\811.png,811.png,Dancel,Ketoconazole (Shampoo),datasetHand,training,,,,20
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4215.jpg,P4215.jpg,Fexo,Fexofenadine Hydrochloride,RxHandBD-ML,train,Fexo,exact_clean,100.0,30
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5202.jpg,P5202.jpg,Flamyd,Metronidazole,RxHandBD-ML,train,flamyd,exact_clean,100.0,34
D:\ediprjcursor\data\datasetHand\Training\training_words\2945.png,2945.png,Telfast,Fexofenadine Hydrochloride,datasetHand,training,,,,73
D:\ediprjcursor\data\datasetHand\Training\training_words\2869.png,2869.png,Sergel,Esomeprazole,datasetHand,training,,,,71
D:\ediprjcursor\data\datasetHand\Training\training_words\1475.png,1475.png,Flexilax,Baclofen,datasetHand,training,,,,36
D:\ediprjcursor\data\datasetHand\Training\training_words\690.png,690.png,Candinil,Fluconazole,datasetHand,training,,,,17
D:\ediprjcursor\data\datasetHand\Training\training_words\2984.png,2984.png,Tridosil,Azithromycin Dihydrate,datasetHand,training,,,,74
D:\ediprjcursor\data\datasetHand\Training\training_words\1772.png,1772.png,Lumona,Montelukast Sodium,datasetHand,training,,,,44
D:\ediprjcursor\data\datasetHand\Training\training_words\206.png,206.png,Axodin,Fexofenadine Hydrochloride,datasetHand,training,,,,5
D:\ediprjcursor\data\datasetHand\Training\training_words\2661.png,2661.png,Rhinil,Cetirizine Hydrochloride,datasetHand,training,,,,66
D:\ediprjcursor\data\datasetHand\Training\training_words\568.png,568.png,Beklo,Baclofen,datasetHand,training,,,,14
D:\ediprjcursor\data\datasetHand\Training\training_words\447.png,447.png,Baclofen,Baclofen,datasetHand,training,,,,11
D:\ediprjcursor\data\datasetHand\Training\training_words\1644.png,1644.png,Ketozol,Ketoconazole (Shampoo),datasetHand,training,,,,41
D:\ediprjcursor\data\datasetHand\Training\training_words\704.png,704.png,Candinil,Fluconazole,datasetHand,training,,,,17
D:\ediprjcursor\data\datasetHand\Training\training_words\1195.png,1195.png,Fenadin,Fexofenadine Hydrochloride,datasetHand,training,,,,29
D:\ediprjcursor\data\datasetHand\Training\training_words\1490.png,1490.png,Flugal,Fluconazole,datasetHand,training,,,,37
D:\ediprjcursor\data\datasetHand\Training\training_words\2967.png,2967.png,Tridosil,Azithromycin Dihydrate,datasetHand,training,,,,74
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5386.jpg,P5386.jpg,Filmet,Metronidazole,RxHandBD-ML,train,filmet,exact_clean,100.0,32
D:\ediprjcursor\data\datasetHand\Training\training_words\2527.png,2527.png,Progut,Esomeprazole,datasetHand,training,,,,63
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P4035.jpg,P4035.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\842.png,842.png,Denixil,Clonazepam,datasetHand,training,,,,21
D:\ediprjcursor\data\datasetHand\Training\training_words\2665.png,2665.png,Rhinil,Cetirizine Hydrochloride,datasetHand,training,,,,66
D:\ediprjcursor\data\datasetHand\Training\training_words\793.png,793.png,Conaz,Fluconazole,datasetHand,training,,,,19
D:\ediprjcursor\data\datasetHand\Training\training_words\1936.png,1936.png,Metro,Metronidazole,datasetHand,training,,,,48
D:\ediprjcursor\data\datasetHand\Training\training_words\2491.png,2491.png,Opton,Esomeprazole,datasetHand,training,,,,62
D:\ediprjcursor\data\datasetHand\Training\training_words\2061.png,2061.png,Montair,Montelukast Sodium,datasetHand,training,,,,51
D:\ediprjcursor\data\datasetHand\Training\training_words\1307.png,1307.png,Filmet,Metronidazole,datasetHand,training,,,,32
D:\ediprjcursor\data\datasetHand\Training\training_words\1074.png,1074.png,Esoral,Esomeprazole,datasetHand,training,,,,26
D:\ediprjcursor\data\datasetHand\Training\training_words\38.png,38.png,Aceta,Paracetamol,datasetHand,training,,,,1
D:\ediprjcursor\data\datasetHand\Training\training_words\1344.png,1344.png,Fixal,Fexofenadine Hydrochloride,datasetHand,training,,,,33
D:\ediprjcursor\data\datasetHand\Training\training_words\1670.png,1670.png,Ketozol,Ketoconazole (Shampoo),datasetHand,training,,,,41
D:\ediprjcursor\data\datasetHand\Training\training_words\3099.png,3099.png,Zithrin,Azithromycin Dihydrate,datasetHand,training,,,,77
D:\ediprjcursor\data\datasetHand\Training\training_words\28.png,28.png,Aceta,Paracetamol,datasetHand,training,,,,1
D:\ediprjcursor\data\datasetHand\Training\training_words\1256.png,1256.png,Fexo,Fexofenadine Hydrochloride,datasetHand,training,,,,30
D:\ediprjcursor\data\datasetHand\Training\training_words\2346.png,2346.png,Nidazyl,Metronidazole,datasetHand,training,,,,58
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5319.jpg,P5319.jpg,Fexo,Fexofenadine Hydrochloride,RxHandBD-ML,train,fexo,exact_clean,100.0,30
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P5337.jpg,P5337.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\300.png,300.png,Azyth,Azithromycin Dihydrate,datasetHand,training,,,,8
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3200.jpg,P3200.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\2714.png,2714.png,Ritch,Fexofenadine Hydrochloride,datasetHand,training,,,,67
D:\ediprjcursor\data\datasetHand\Training\training_words\938.png,938.png,Dinafex,Fexofenadine Hydrochloride,datasetHand,training,,,,23
D:\ediprjcursor\data\datasetHand\Training\training_words\2227.png,2227.png,Napa,Paracetamol,datasetHand,training,,,,54
D:\ediprjcursor\data\datasetHand\Training\training_words\2366.png,2366.png,Nizoder,Ketoconazole (Cream),datasetHand,training,,,,59
D:\ediprjcursor\data\datasetHand\Training\training_words\1610.png,1610.png,Ketotab,Ketoconazole (Tablet),datasetHand,training,,,,40
D:\ediprjcursor\data\datasetHand\Training\training_words\191.png,191.png,Atrizin,Cetirizine Hydrochloride,datasetHand,training,,,,4
D:\ediprjcursor\data\datasetHand\Training\training_words\356.png,356.png,Az,Azithromycin Dihydrate,datasetHand,training,,,,6
D:\ediprjcursor\data\datasetHand\Training\training_words\61.png,61.png,Ace,Paracetamol,datasetHand,training,,,,0
D:\ediprjcursor\data\datasetHand\Training\training_words\1560.png,1560.png,Ketoral,Ketoconazole (Tablet),datasetHand,training,,,,39
D:\ediprjcursor\data\datasetHand\Training\training_words\974.png,974.png,Disopan,Clonazepam,datasetHand,training,,,,24
D:\ediprjcursor\data\RxHandBD-ML\Train_Set\P3242.jpg,P3242.jpg,Napa Extend,Paracetamol,RxHandBD-ML,train,Napa,exact_clean,100.0,55
D:\ediprjcursor\data\datasetHand\Training\training_words\996.png,996.png,Disopan,Clonazepam,datasetHand,training,,,,24
D:\ediprjcursor\data\datasetHand\Training\training_words\1616.png,1616.png,Ketotab,Ketoconazole (Tablet),datasetHand,training,,,,40
