IMAGE,MEDICINE_NAME,GENERIC_NAME
232.png,Axodin,Fexofenadine Hydrochloride
233.png,Axodin,Fexofenadine Hydrochloride
234.png,Axodin,Fexofenadine Hydrochloride
235.png,Axodin,Fexofenadine Hydrochloride
236.png,Axodin,Fexofenadine Hydrochloride
237.png,Axodin,Fexofenadine Hydrochloride
238.png,Axodin,Fexofenadine Hydrochloride
239.png,Axodin,Fexofenadine Hydrochloride
240.png,Azithrocin,Azithromycin Dihydrate
241.png,Azithrocin,Azithromycin Dihydrate
242.png,Azithrocin,Azithromycin Dihydrate
243.png,Azithrocin,Azithromycin Dihydrate
244.png,Azithrocin,Azithromycin Dihydrate
245.png,Azithrocin,Azithromycin Dihydrate
246.png,Azithrocin,Azithromycin Dihydrate
247.png,Azithrocin,Azithromycin Dihydrate
248.png,Azithrocin,Azithromycin Dihydrate
249.png,Azithrocin,Azithromycin Dihydrate
250.png,Azithrocin,Azithromycin Dihydrate
251.png,Azithrocin,Azithromycin Dihydrate
252.png,Azithrocin,Azithromycin Dihydrate
253.png,Azithrocin,Azithromycin Dihydrate
254.png,Azithrocin,Azithromycin Dihydrate
255.png,Azithrocin,Azithromycin Dihydrate
256.png,Azithrocin,Azithromycin Dihydrate
257.png,Azithrocin,Azithromycin Dihydrate
258.png,Azithrocin,Azithromycin Dihydrate
259.png,Azithrocin,Azithromycin Dihydrate
260.png,Azithrocin,Azithromycin Dihydrate
261.png,Azithrocin,Azithromycin Dihydrate
262.png,Azithrocin,Azithromycin Dihydrate
263.png,Azithrocin,Azithromycin Dihydrate
264.png,Azithrocin,Azithromycin Dihydrate
265.png,Azithrocin,Azithromycin Dihydrate
266.png,Azithrocin,Azithromycin Dihydrate
267.png,Azithrocin,Azithromycin Dihydrate
268.png,Azithrocin,Azithromycin Dihydrate
269.png,Azithrocin,Azithromycin Dihydrate
270.png,Azithrocin,Azithromycin Dihydrate
271.png,Azithrocin,Azithromycin Dihydrate
272.png,Azithrocin,Azithromycin Dihydrate
273.png,Azithrocin,Azithromycin Dihydrate
274.png,Azithrocin,Azithromycin Dihydrate
275.png,Azithrocin,Azithromycin Dihydrate
276.png,Azithrocin,Azithromycin Dihydrate
277.png,Azithrocin,Azithromycin Dihydrate
278.png,Azithrocin,Azithromycin Dihydrate
279.png,Azithrocin,Azithromycin Dihydrate
280.png,Azyth,Azithromycin Dihydrate
281.png,Azyth,Azithromycin Dihydrate
282.png,Azyth,Azithromycin Dihydrate
283.png,Azyth,Azithromycin Dihydrate
284.png,Azyth,Azithromycin Dihydrate
285.png,Azyth,Azithromycin Dihydrate
286.png,Azyth,Azithromycin Dihydrate
287.png,Azyth,Azithromycin Dihydrate
288.png,Azyth,Azithromycin Dihydrate
289.png,Azyth,Azithromycin Dihydrate
290.png,Azyth,Azithromycin Dihydrate
291.png,Azyth,Azithromycin Dihydrate
292.png,Azyth,Azithromycin Dihydrate
293.png,Azyth,Azithromycin Dihydrate
294.png,Azyth,Azithromycin Dihydrate
295.png,Azyth,Azithromycin Dihydrate
296.png,Azyth,Azithromycin Dihydrate
297.png,Azyth,Azithromycin Dihydrate
298.png,Azyth,Azithromycin Dihydrate
299.png,Azyth,Azithromycin Dihydrate
300.png,Azyth,Azithromycin Dihydrate
301.png,Azyth,Azithromycin Dihydrate
302.png,Azyth,Azithromycin Dihydrate
303.png,Azyth,Azithromycin Dihydrate
304.png,Azyth,Azithromycin Dihydrate
305.png,Azyth,Azithromycin Dihydrate
306.png,Azyth,Azithromycin Dihydrate
307.png,Azyth,Azithromycin Dihydrate
308.png,Azyth,Azithromycin Dihydrate
309.png,Azyth,Azithromycin Dihydrate
310.png,Azyth,Azithromycin Dihydrate
311.png,Azyth,Azithromycin Dihydrate
312.png,Azyth,Azithromycin Dihydrate
313.png,Azyth,Azithromycin Dihydrate
314.png,Azyth,Azithromycin Dihydrate
315.png,Azyth,Azithromycin Dihydrate
316.png,Azyth,Azithromycin Dihydrate
317.png,Azyth,Azithromycin Dihydrate
318.png,Azyth,Azithromycin Dihydrate
319.png,Azyth,Azithromycin Dihydrate
320.png,Az,Azithromycin Dihydrate
321.png,Az,Azithromycin Dihydrate
322.png,Az,Azithromycin Dihydrate
323.png,Az,Azithromycin Dihydrate
324.png,Az,Azithromycin Dihydrate
325.png,Az,Azithromycin Dihydrate
326.png,Az,Azithromycin Dihydrate
327.png,Az,Azithromycin Dihydrate
328.png,Az,Azithromycin Dihydrate
329.png,Az,Azithromycin Dihydrate
330.png,Az,Azithromycin Dihydrate
331.png,Az,Azithromycin Dihydrate
332.png,Az,Azithromycin Dihydrate
333.png,Az,Azithromycin Dihydrate
334.png,Az,Azithromycin Dihydrate
335.png,Az,Azithromycin Dihydrate
336.png,Az,Azithromycin Dihydrate
337.png,Az,Azithromycin Dihydrate
338.png,Az,Azithromycin Dihydrate
339.png,Az,Azithromycin Dihydrate
340.png,Az,Azithromycin Dihydrate
341.png,Az,Azithromycin Dihydrate
342.png,Az,Azithromycin Dihydrate
343.png,Az,Azithromycin Dihydrate
344.png,Az,Azithromycin Dihydrate
345.png,Az,Azithromycin Dihydrate
346.png,Az,Azithromycin Dihydrate
347.png,Az,Azithromycin Dihydrate
348.png,Az,Azithromycin Dihydrate
349.png,Az,Azithromycin Dihydrate
350.png,Az,Azithromycin Dihydrate
351.png,Az,Azithromycin Dihydrate
352.png,Az,Azithromycin Dihydrate
353.png,Az,Azithromycin Dihydrate
354.png,Az,Azithromycin Dihydrate
355.png,Az,Azithromycin Dihydrate
356.png,Az,Azithromycin Dihydrate
357.png,Az,Azithromycin Dihydrate
358.png,Az,Azithromycin Dihydrate
359.png,Az,Azithromycin Dihydrate
360.png,Bacaid,Baclofen
361.png,Bacaid,Baclofen
362.png,Bacaid,Baclofen
363.png,Bacaid,Baclofen
364.png,Bacaid,Baclofen
365.png,Bacaid,Baclofen
366.png,Bacaid,Baclofen
367.png,Bacaid,Baclofen
368.png,Bacaid,Baclofen
369.png,Bacaid,Baclofen
370.png,Bacaid,Baclofen
371.png,Bacaid,Baclofen
372.png,Bacaid,Baclofen
373.png,Bacaid,Baclofen
374.png,Bacaid,Baclofen
375.png,Bacaid,Baclofen
376.png,Bacaid,Baclofen
377.png,Bacaid,Baclofen
378.png,Bacaid,Baclofen
379.png,Bacaid,Baclofen
380.png,Bacaid,Baclofen
381.png,Bacaid,Baclofen
382.png,Bacaid,Baclofen
383.png,Bacaid,Baclofen
384.png,Bacaid,Baclofen
385.png,Bacaid,Baclofen
386.png,Bacaid,Baclofen
387.png,Bacaid,Baclofen
388.png,Bacaid,Baclofen
389.png,Bacaid,Baclofen
390.png,Bacaid,Baclofen
391.png,Bacaid,Baclofen
392.png,Bacaid,Baclofen
393.png,Bacaid,Baclofen
394.png,Bacaid,Baclofen
395.png,Bacaid,Baclofen
396.png,Bacaid,Baclofen
397.png,Bacaid,Baclofen
398.png,Bacaid,Baclofen
399.png,Bacaid,Baclofen
400.png,Backtone,Baclofen
401.png,Backtone,Baclofen
402.png,Backtone,Baclofen
403.png,Backtone,Baclofen
404.png,Backtone,Baclofen
405.png,Backtone,Baclofen
406.png,Backtone,Baclofen
407.png,Backtone,Baclofen
408.png,Backtone,Baclofen
409.png,Backtone,Baclofen
410.png,Backtone,Baclofen
411.png,Backtone,Baclofen
412.png,Backtone,Baclofen
413.png,Backtone,Baclofen
414.png,Backtone,Baclofen
415.png,Backtone,Baclofen
416.png,Backtone,Baclofen
417.png,Backtone,Baclofen
418.png,Backtone,Baclofen
419.png,Backtone,Baclofen
420.png,Backtone,Baclofen
421.png,Backtone,Baclofen
422.png,Backtone,Baclofen
423.png,Backtone,Baclofen
424.png,Backtone,Baclofen
425.png,Backtone,Baclofen
426.png,Backtone,Baclofen
427.png,Backtone,Baclofen
428.png,Backtone,Baclofen
429.png,Backtone,Baclofen
430.png,Backtone,Baclofen
431.png,Backtone,Baclofen
432.png,Backtone,Baclofen
433.png,Backtone,Baclofen
434.png,Backtone,Baclofen
435.png,Backtone,Baclofen
436.png,Backtone,Baclofen
437.png,Backtone,Baclofen
438.png,Backtone,Baclofen
439.png,Backtone,Baclofen
440.png,Baclofen,Baclofen
441.png,Baclofen,Baclofen
442.png,Baclofen,Baclofen
443.png,Baclofen,Baclofen
444.png,Baclofen,Baclofen
445.png,Baclofen,Baclofen
446.png,Baclofen,Baclofen
447.png,Baclofen,Baclofen
448.png,Baclofen,Baclofen
449.png,Baclofen,Baclofen
450.png,Baclofen,Baclofen
451.png,Baclofen,Baclofen
452.png,Baclofen,Baclofen
453.png,Baclofen,Baclofen
454.png,Baclofen,Baclofen
455.png,Baclofen,Baclofen
456.png,Baclofen,Baclofen
457.png,Baclofen,Baclofen
458.png,Baclofen,Baclofen
459.png,Baclofen,Baclofen
460.png,Baclofen,Baclofen
461.png,Baclofen,Baclofen
462.png,Baclofen,Baclofen
463.png,Baclofen,Baclofen
464.png,Baclofen,Baclofen
465.png,Baclofen,Baclofen
466.png,Baclofen,Baclofen
467.png,Baclofen,Baclofen
468.png,Baclofen,Baclofen
469.png,Baclofen,Baclofen
470.png,Baclofen,Baclofen
471.png,Baclofen,Baclofen
472.png,Baclofen,Baclofen
473.png,Baclofen,Baclofen
474.png,Baclofen,Baclofen
475.png,Baclofen,Baclofen
476.png,Baclofen,Baclofen
477.png,Baclofen,Baclofen
478.png,Baclofen,Baclofen
479.png,Baclofen,Baclofen
480.png,Baclon,Baclofen
481.png,Baclon,Baclofen
482.png,Baclon,Baclofen
483.png,Baclon,Baclofen
484.png,Baclon,Baclofen
485.png,Baclon,Baclofen
486.png,Baclon,Baclofen
487.png,Baclon,Baclofen
488.png,Baclon,Baclofen
489.png,Baclon,Baclofen
490.png,Baclon,Baclofen
491.png,Baclon,Baclofen
492.png,Baclon,Baclofen
493.png,Baclon,Baclofen
494.png,Baclon,Baclofen
495.png,Baclon,Baclofen
496.png,Baclon,Baclofen
497.png,Baclon,Baclofen
498.png,Baclon,Baclofen
499.png,Baclon,Baclofen
500.png,Baclon,Baclofen
501.png,Baclon,Baclofen
502.png,Baclon,Baclofen
503.png,Baclon,Baclofen
504.png,Baclon,Baclofen
505.png,Baclon,Baclofen
506.png,Baclon,Baclofen
507.png,Baclon,Baclofen
508.png,Baclon,Baclofen
509.png,Baclon,Baclofen
510.png,Baclon,Baclofen
511.png,Baclon,Baclofen
512.png,Baclon,Baclofen
513.png,Baclon,Baclofen
514.png,Baclon,Baclofen
515.png,Baclon,Baclofen
516.png,Baclon,Baclofen
517.png,Baclon,Baclofen
518.png,Baclon,Baclofen
519.png,Baclon,Baclofen
520.png,Bacmax,Baclofen
521.png,Bacmax,Baclofen
522.png,Bacmax,Baclofen
523.png,Bacmax,Baclofen
524.png,Bacmax,Baclofen
525.png,Bacmax,Baclofen
526.png,Bacmax,Baclofen
527.png,Bacmax,Baclofen
528.png,Bacmax,Baclofen
529.png,Bacmax,Baclofen
530.png,Bacmax,Baclofen
531.png,Bacmax,Baclofen
532.png,Bacmax,Baclofen
533.png,Bacmax,Baclofen
534.png,Bacmax,Baclofen
535.png,Bacmax,Baclofen
536.png,Bacmax,Baclofen
537.png,Bacmax,Baclofen
538.png,Bacmax,Baclofen
539.png,Bacmax,Baclofen
540.png,Bacmax,Baclofen
541.png,Bacmax,Baclofen
542.png,Bacmax,Baclofen
543.png,Bacmax,Baclofen
544.png,Bacmax,Baclofen
545.png,Bacmax,Baclofen
546.png,Bacmax,Baclofen
547.png,Bacmax,Baclofen
548.png,Bacmax,Baclofen
549.png,Bacmax,Baclofen
550.png,Bacmax,Baclofen
551.png,Bacmax,Baclofen
552.png,Bacmax,Baclofen
553.png,Bacmax,Baclofen
554.png,Bacmax,Baclofen
555.png,Bacmax,Baclofen
556.png,Bacmax,Baclofen
557.png,Bacmax,Baclofen
558.png,Bacmax,Baclofen
559.png,Bacmax,Baclofen
560.png,Beklo,Baclofen
561.png,Beklo,Baclofen
562.png,Beklo,Baclofen
563.png,Beklo,Baclofen
564.png,Beklo,Baclofen
565.png,Beklo,Baclofen
566.png,Beklo,Baclofen
567.png,Beklo,Baclofen
568.png,Beklo,Baclofen
569.png,Beklo,Baclofen
570.png,Beklo,Baclofen
571.png,Beklo,Baclofen
572.png,Beklo,Baclofen
573.png,Beklo,Baclofen
574.png,Beklo,Baclofen
575.png,Beklo,Baclofen
576.png,Beklo,Baclofen
577.png,Beklo,Baclofen
578.png,Beklo,Baclofen
579.png,Beklo,Baclofen
580.png,Beklo,Baclofen
581.png,Beklo,Baclofen
582.png,Beklo,Baclofen
583.png,Beklo,Baclofen
584.png,Beklo,Baclofen
585.png,Beklo,Baclofen
586.png,Beklo,Baclofen
587.png,Beklo,Baclofen
588.png,Beklo,Baclofen
589.png,Beklo,Baclofen
590.png,Beklo,Baclofen
591.png,Beklo,Baclofen
592.png,Beklo,Baclofen
593.png,Beklo,Baclofen
594.png,Beklo,Baclofen
595.png,Beklo,Baclofen
596.png,Beklo,Baclofen
597.png,Beklo,Baclofen
598.png,Beklo,Baclofen
599.png,Beklo,Baclofen
600.png,Bicozin,Vitamin B Complex + Zinc
601.png,Bicozin,Vitamin B Complex + Zinc
602.png,Bicozin,Vitamin B Complex + Zinc
603.png,Bicozin,Vitamin B Complex + Zinc
604.png,Bicozin,Vitamin B Complex + Zinc
605.png,Bicozin,Vitamin B Complex + Zinc
606.png,Bicozin,Vitamin B Complex + Zinc
607.png,Bicozin,Vitamin B Complex + Zinc
608.png,Bicozin,Vitamin B Complex + Zinc
609.png,Bicozin,Vitamin B Complex + Zinc
610.png,Bicozin,Vitamin B Complex + Zinc
611.png,Bicozin,Vitamin B Complex + Zinc
612.png,Bicozin,Vitamin B Complex + Zinc
613.png,Bicozin,Vitamin B Complex + Zinc
614.png,Bicozin,Vitamin B Complex + Zinc
615.png,Bicozin,Vitamin B Complex + Zinc
616.png,Bicozin,Vitamin B Complex + Zinc
617.png,Bicozin,Vitamin B Complex + Zinc
618.png,Bicozin,Vitamin B Complex + Zinc
619.png,Bicozin,Vitamin B Complex + Zinc
620.png,Bicozin,Vitamin B Complex + Zinc
621.png,Bicozin,Vitamin B Complex + Zinc
622.png,Bicozin,Vitamin B Complex + Zinc
623.png,Bicozin,Vitamin B Complex + Zinc
624.png,Bicozin,Vitamin B Complex + Zinc
625.png,Bicozin,Vitamin B Complex + Zinc
626.png,Bicozin,Vitamin B Complex + Zinc
627.png,Bicozin,Vitamin B Complex + Zinc
628.png,Bicozin,Vitamin B Complex + Zinc
629.png,Bicozin,Vitamin B Complex + Zinc
630.png,Bicozin,Vitamin B Complex + Zinc
631.png,Bicozin,Vitamin B Complex + Zinc
632.png,Bicozin,Vitamin B Complex + Zinc
633.png,Bicozin,Vitamin B Complex + Zinc
634.png,Bicozin,Vitamin B Complex + Zinc
635.png,Bicozin,Vitamin B Complex + Zinc
636.png,Bicozin,Vitamin B Complex + Zinc
637.png,Bicozin,Vitamin B Complex + Zinc
638.png,Bicozin,Vitamin B Complex + Zinc
639.png,Bicozin,Vitamin B Complex + Zinc
640.png,Canazole,Fluconazole
641.png,Canazole,Fluconazole
642.png,Canazole,Fluconazole
643.png,Canazole,Fluconazole
644.png,Canazole,Fluconazole
645.png,Canazole,Fluconazole
646.png,Canazole,Fluconazole
647.png,Canazole,Fluconazole
648.png,Canazole,Fluconazole
649.png,Canazole,Fluconazole
650.png,Canazole,Fluconazole
651.png,Canazole,Fluconazole
652.png,Canazole,Fluconazole
653.png,Canazole,Fluconazole
654.png,Canazole,Fluconazole
655.png,Canazole,Fluconazole
656.png,Canazole,Fluconazole
657.png,Canazole,Fluconazole
658.png,Canazole,Fluconazole
659.png,Canazole,Fluconazole
660.png,Canazole,Fluconazole
661.png,Canazole,Fluconazole
662.png,Canazole,Fluconazole
663.png,Canazole,Fluconazole
664.png,Canazole,Fluconazole
665.png,Canazole,Fluconazole
666.png,Canazole,Fluconazole
667.png,Canazole,Fluconazole
668.png,Canazole,Fluconazole
669.png,Canazole,Fluconazole
670.png,Canazole,Fluconazole
671.png,Canazole,Fluconazole
672.png,Canazole,Fluconazole
673.png,Canazole,Fluconazole
674.png,Canazole,Fluconazole
675.png,Canazole,Fluconazole
676.png,Canazole,Fluconazole
677.png,Canazole,Fluconazole
678.png,Canazole,Fluconazole
679.png,Canazole,Fluconazole
680.png,Candinil,Fluconazole
681.png,Candinil,Fluconazole
682.png,Candinil,Fluconazole
683.png,Candinil,Fluconazole
684.png,Candinil,Fluconazole
685.png,Candinil,Fluconazole
686.png,Candinil,Fluconazole
687.png,Candinil,Fluconazole
688.png,Candinil,Fluconazole
689.png,Candinil,Fluconazole
690.png,Candinil,Fluconazole
691.png,Candinil,Fluconazole
692.png,Candinil,Fluconazole
693.png,Candinil,Fluconazole
694.png,Candinil,Fluconazole
695.png,Candinil,Fluconazole
696.png,Candinil,Fluconazole
697.png,Candinil,Fluconazole
698.png,Candinil,Fluconazole
699.png,Candinil,Fluconazole
700.png,Candinil,Fluconazole
701.png,Candinil,Fluconazole
702.png,Candinil,Fluconazole
703.png,Candinil,Fluconazole
704.png,Candinil,Fluconazole
705.png,Candinil,Fluconazole
706.png,Candinil,Fluconazole
707.png,Candinil,Fluconazole
708.png,Candinil,Fluconazole
709.png,Candinil,Fluconazole
710.png,Candinil,Fluconazole
711.png,Candinil,Fluconazole
712.png,Candinil,Fluconazole
713.png,Candinil,Fluconazole
714.png,Candinil,Fluconazole
715.png,Candinil,Fluconazole
716.png,Candinil,Fluconazole
717.png,Candinil,Fluconazole
718.png,Candinil,Fluconazole
719.png,Candinil,Fluconazole
720.png,Cetisoft,Cetirizine Hydrochloride
721.png,Cetisoft,Cetirizine Hydrochloride
722.png,Cetisoft,Cetirizine Hydrochloride
723.png,Cetisoft,Cetirizine Hydrochloride
724.png,Cetisoft,Cetirizine Hydrochloride
725.png,Cetisoft,Cetirizine Hydrochloride
726.png,Cetisoft,Cetirizine Hydrochloride
727.png,Cetisoft,Cetirizine Hydrochloride
728.png,Cetisoft,Cetirizine Hydrochloride
729.png,Cetisoft,Cetirizine Hydrochloride
730.png,Cetisoft,Cetirizine Hydrochloride
731.png,Cetisoft,Cetirizine Hydrochloride
732.png,Cetisoft,Cetirizine Hydrochloride
733.png,Cetisoft,Cetirizine Hydrochloride
734.png,Cetisoft,Cetirizine Hydrochloride
735.png,Cetisoft,Cetirizine Hydrochloride
736.png,Cetisoft,Cetirizine Hydrochloride
737.png,Cetisoft,Cetirizine Hydrochloride
738.png,Cetisoft,Cetirizine Hydrochloride
739.png,Cetisoft,Cetirizine Hydrochloride
740.png,Cetisoft,Cetirizine Hydrochloride
